name,uri,followers,genres,popularity,top_tracks
Hoogway,spotify:artist:1Mh9G47YfuaLdQs44voLrQ,20143,lo-fi hip hop; lo-fi; lo-fi beats,62,Lucky Us; Marylou; A Place I Love; Daydream; Fragments Of The Moon; Everything (You Are); down the road; Beauty In All Forms; stay; petals
Mondo Loops,spotify:artist:1XFN3VcuKr4tsTtQlRiTgK,42986,lo-fi hip hop; lo-fi; lo-fi beats,62,Arrival; Junjiro (Little Tanuki) - Mondo Loops Remix; last light; Visions In The Swamp; Dancing in the Dark; beautiful imprefections; Kindred; Star Sailing; Essence of the Forest; Starry night
Phlocalyst,spotify:artist:5xJ9q1lHwa8AShRof94oIt,22074,lo-fi; lo-fi hip hop; jazz beats; lo-fi beats,60,A Star For Christmas; Get Together; No Sleep; Cerveja; Our View; Kukui Leaves; A Friendly Hello; Liquid Spots; Silver Linings; Blank Canvas
No Spirit,spotify:artist:4XbnhifKeOnyfTsCInrQsX,21852,lo-fi hip hop; lo-fi; lo-fi beats,59,The Quiet Kind; canyoufeelmy<3.tmpx; Winds On Mars; Exhale; Darkside.verXx; Planet 9; Memories We Made; Voice Of The Forest; Another Time; Throne.GOD
cxlt.,spotify:artist:1TFqjcoVis5TzVQxrHMSfA,9086,lo-fi hip hop; lo-fi; lo-fi beats,59,staying in; Fireflies; Break Away; Rays Of Light; Last Dream; A Better Place; look at the sky; The Day You Left; Above The Quiet City; Drifting
Oroshi,spotify:artist:3gqs8fHrmLkMfjT5BI1bNh,325,,58,"Downpours; Under the rain; Old Friends; temporary approved; Nearly Airborne White Noise; Rush of rain; Rain Noise in a Tent for Sleeping, Meditation 1; Rain Noise in a Tent for Sleeping, Meditation 19; Rain Noise in a Tent for Sleeping, Meditation 15; Rain Noise in a Tent for Sleeping, Meditation 10"
Juliàn,spotify:artist:2SJLGPoAJhy9Id6N8oAftk,3486,lo-fi; lo-fi beats,57,Lucky Us; Along The Way; Drifting; Hope For Harmony; yesterday's dream; Coziness; petals; Frosted Mornings; Internal Forces; Set Sail
amies,spotify:artist:2zNmlxTlRfyMAAifd2f71Q,8587,lo-fi hip hop; lo-fi; lo-fi beats,56,Wish; Daydream; Fireflies; Break Away; Disclosure; The Day You Left; Come Find Me; Destination Unknown; Drifting; Guidance
Lenny Loops,spotify:artist:6MvnyPinXRQbUCMsPoymhR,4837,lo-fi; lo-fi hip hop; lo-fi beats,56,fleeting moments; Reassuring Skies; at the blue hour; Lights In The Deepest Blue; autumn morning; Noctilucent; Days Past; anytime soon; from me to you; a soft storm
Banks,spotify:artist:6L9h5cN2DNOoMqFRgIv7uU,4224,lo-fi; lo-fi hip hop; lo-fi beats,56,Springtime; Lazy Day; Green Pastures; teach each other lessons; Sunset Swim; Kindred; Inner Peace; Hiraeth; in the pines; Feels Like Home
